Designator,Footprint,Quantity,Value,LCSC Part #
"C1_4, C1_3, C1_2, C1",CP_Radial_D18.0mm_P7.50mm,4,"3300uF, 50V",
"C2_4, C2_3, C2_2, C2",CP_Radial_D10.0mm_P5.00mm,4,"1000uF, 16V",
"C3_4, C3_3, C3_2, C3, C4_4, C4_3, C4_2, C4",CP_Radial_D5.0mm_P2.00mm,8,"10uF, 25V",
"D1_4, D1_3, D1_2, D1",LED_D5.0mm,4,LED_5mm,
"KIKIT_FID_B_1, KIKIT_FID_B_2, KIKIT_FID_B_3, KIKIT_FID_T_1, KIKIT_FID_T_2, KIKIT_FID_T_3",Fiducial,6,Fiducial,
"KIKIT_MB_10_1, KIKIT_MB_10_2, KIKIT_MB_10_3, KIKIT_MB_10_4, KIKIT_MB_10_5, KIKIT_MB_11_1, KIKIT_MB_11_2, KIKIT_MB_11_3, KIKIT_MB_11_4, KIKIT_MB_11_5, KIKIT_MB_12_1, KIKIT_MB_12_2, KIKIT_MB_12_3, KIKIT_MB_12_4, KIKIT_MB_12_5, KIKIT_MB_13_1, KIKIT_MB_13_2, KIKIT_MB_13_3, KIKIT_MB_13_4, KIKIT_MB_13_5, KIKIT_MB_14_1, KIKIT_MB_14_2, KIKIT_MB_14_3, KIKIT_MB_14_4, KIKIT_MB_14_5, KIKIT_MB_15_1, KIKIT_MB_15_2, KIKIT_MB_15_3, KIKIT_MB_15_4, KIKIT_MB_15_5, KIKIT_MB_16_1, KIKIT_MB_16_2, KIKIT_MB_16_3, KIKIT_MB_16_4, KIKIT_MB_16_5, KIKIT_MB_17_1, KIKIT_MB_17_2, KIKIT_MB_17_3, KIKIT_MB_17_4, KIKIT_MB_17_5, KIKIT_MB_18_1, KIKIT_MB_18_2, KIKIT_MB_18_3, KIKIT_MB_18_4, KIKIT_MB_18_5, KIKIT_MB_19_1, KIKIT_MB_19_2, KIKIT_MB_19_3, KIKIT_MB_19_4, KIKIT_MB_19_5, KIKIT_MB_1_1, KIKIT_MB_1_2, KIKIT_MB_1_3, KIKIT_MB_1_4, KIKIT_MB_1_5, KIKIT_MB_20_1, KIKIT_MB_20_2, KIKIT_MB_20_3, KIKIT_MB_20_4, KIKIT_MB_20_5, KIKIT_MB_21_1, KIKIT_MB_21_2, KIKIT_MB_21_3, KIKIT_MB_21_4, KIKIT_MB_21_5, KIKIT_MB_22_1, KIKIT_MB_22_2, KIKIT_MB_22_3, KIKIT_MB_22_4, KIKIT_MB_22_5, KIKIT_MB_23_1, KIKIT_MB_23_2, KIKIT_MB_23_3, KIKIT_MB_23_4, KIKIT_MB_23_5, KIKIT_MB_24_1, KIKIT_MB_24_2, KIKIT_MB_24_3, KIKIT_MB_24_4, KIKIT_MB_24_5, KIKIT_MB_25_2, KIKIT_MB_25_3, KIKIT_MB_25_4, KIKIT_MB_25_5, KIKIT_MB_25_6, KIKIT_MB_25_7, KIKIT_MB_26_2, KIKIT_MB_26_3, KIKIT_MB_26_4, KIKIT_MB_26_5, KIKIT_MB_26_6, KIKIT_MB_26_7, KIKIT_MB_27_1, KIKIT_MB_27_2, KIKIT_MB_27_3, KIKIT_MB_27_4, KIKIT_MB_27_5, KIKIT_MB_27_6, KIKIT_MB_28_1, KIKIT_MB_28_2, KIKIT_MB_28_3, KIKIT_MB_28_4, KIKIT_MB_28_5, KIKIT_MB_28_6, KIKIT_MB_29_2, KIKIT_MB_29_3, KIKIT_MB_29_4, KIKIT_MB_29_5, KIKIT_MB_29_6, KIKIT_MB_29_7, KIKIT_MB_2_1, KIKIT_MB_2_2, KIKIT_MB_2_3, KIKIT_MB_2_4, KIKIT_MB_2_5, KIKIT_MB_30_2, KIKIT_MB_30_3, KIKIT_MB_30_4, KIKIT_MB_30_5, KIKIT_MB_30_6, KIKIT_MB_30_7, KIKIT_MB_31_1, KIKIT_MB_31_2, KIKIT_MB_31_3, KIKIT_MB_31_4, KIKIT_MB_31_5, KIKIT_MB_31_6, KIKIT_MB_32_1, KIKIT_MB_32_2, KIKIT_MB_32_3, KIKIT_MB_32_4, KIKIT_MB_32_5, KIKIT_MB_32_6, KIKIT_MB_3_1, KIKIT_MB_3_2, KIKIT_MB_3_3, KIKIT_MB_3_4, KIKIT_MB_3_5, KIKIT_MB_4_1, KIKIT_MB_4_2, KIKIT_MB_4_3, KIKIT_MB_4_4, KIKIT_MB_4_5, KIKIT_MB_5_1, KIKIT_MB_5_2, KIKIT_MB_5_3, KIKIT_MB_5_4, KIKIT_MB_5_5, KIKIT_MB_6_1, KIKIT_MB_6_2, KIKIT_MB_6_3, KIKIT_MB_6_4, KIKIT_MB_6_5, KIKIT_MB_7_1, KIKIT_MB_7_2, KIKIT_MB_7_3, KIKIT_MB_7_4, KIKIT_MB_7_5, KIKIT_MB_8_1, KIKIT_MB_8_2, KIKIT_MB_8_3, KIKIT_MB_8_4, KIKIT_MB_8_5, KIKIT_MB_9_1, KIKIT_MB_9_2, KIKIT_MB_9_3, KIKIT_MB_9_4, KIKIT_MB_9_5, KIKIT_TO_1, KIKIT_TO_2, KIKIT_TO_3",NPTH,171,NPTH,
"Q1_4, Q1_3, Q1_2, Q1, Q2_4, Q2_3, Q2_2, Q2",TO-247-3_Vertical_GDS,8,IRFP240,
"Q3_4, Q3_3, Q3_2, Q3",TO-92_Inline_Wide_EBC,4,ZTX450,
"Q4_4, Q4_3, Q4_2, Q4",2SK170,4,2SK170,
"R1_4, R1_3, R1_2, R1, R2_4, R2_3, R2_2, R2",RESAD3700W85L1500D550,8,"0.47 Ω, 3W, 5%",
