Designator,Mid X,Mid Y,Rotation,Layer
C1,197.31,-116.63222,90.0,top
C2,178.92,-108.187677,270.0,top
C3,141.41,-104.685112,270.0,top
C4,117.93,-147.270012,270.0,top
D1,149.985,-148.69,0.0,top
P1,123.64074,-89.86,180.0,bottom
Q1,113.69,-118.76,90.0,top
Q2,215.11,-118.74,270.0,top
Q3,186.06,-91.8,90.0,top
Q4,129.9,-103.69,270.0,top
R1,202.3205,-139.59,180.0,top
R10,123.67,-108.0095,270.0,top
R11,150.7,-104.72,270.0,top
R12,158.48,-104.72,90.0,top
R13,142.57,-118.84,270.0,top
R14,166.18,-104.72,270.0,top
R15,194.19,-91.8,270.0,top
R2,202.3205,-132.47,180.0,top
R3,160.6605,-132.47,180.0,top
R4,160.6805,-139.59,180.0,top
R5,205.34,-91.8,270.0,top
R6,123.74,-128.16,270.0,top
R7,210.89,-91.8,90.0,top
R8,199.78,-91.8,270.0,top
R9,129.9,-128.18,270.0,top
T1,154.93,-90.39,180.0,top
T2,173.85,-90.4,180.0,top
T3,133.1,-147.06,0.0,top
